Site,Coord_UTM_zone_16N.x,Coord_UTM_zone_16N.y,Region,n_ind,n_SNP,n_microsat,n_nonrep
B1,412952,2008180,barrier (northern),15,14,13,13
B2,408083,1998471,barrier (northern),34,30,27,28
B3,403741,1988236,barrier (northern),32,32,30,31
B5,396167,1971258,barrier (northern),35,30,29,29
B6,393861,1961515,barrier (northern),35,32,31,31
B7,390874,1949337,barrier (northern),20,19,19,18
B8,389005,1935966,barrier (northern),35,30,30,29
B9,390342,1928052,barrier (northern),35,30,30,29
B10,390040,1918277,barrier (central),21,20,19,18
B11,388977,1907161,barrier (central),35,34,33,32
B12,389392,1894896,barrier (central),35,29,29,27
B13,394546,1889654,barrier (central),35,31,29,31
B14,392162,1878866,barrier (central),31,30,30,30
B15,388070,1869955,barrier (central),31,31,31,30
B16,385253,1857886,barrier (central),34,32,29,29
B17,385692,1849180,barrier (central),36,31,31,30
B18,387675,1838007,barrier (central),31,30,30,30
B19,394536,1829333,barrier (central),27,26,26,26
B20,393423,1820477,barrier (central),33,31,31,31
T1,403794,1897474,Turneffe Atoll,35,30,28,27
T2,413986,1910075,Turneffe Atoll,35,31,31,31
T3,417040,1933040,Turneffe Atoll,34,32,32,32
T4,418604,1949407,Turneffe Atoll,35,31,31,28
T5,407215,1933254,Turneffe Atoll,35,30,30,30
T6,397793,1911442,Turneffe Atoll,35,32,32,32
G1,406520,1848115,Glover’s Atoll,32,32,32,32
G2,419484,1854080,Glover’s Atoll,32,29,29,27
G3,422183,1862613,Glover’s Atoll,32,32,32,31
G4,420844,1870384,Glover’s Atoll,33,30,30,27
G5,412952,1866007,Glover’s Atoll,35,32,32,29
G6,408067,1856662,Glover’s Atoll,31,30,30,29
L1,435044,1893358,Lighthouse Atoll,34,32,32,32
L4,448483,1932191,Lighthouse Atoll,35,32,32,29
L5,438977,1922096,Lighthouse Atoll,35,32,32,29
L6,438107,1905481,Lighthouse Atoll,31,31,31,29
B21,379006,1804611,barrier (southern),,0,,
B22,373891,1795994,barrier (southern),,17,,
B23,366848,1784660,barrier (southern),,24,,
B24,363773,1779582,barrier (southern),,16,,
B25,357134,1787127,barrier (southern),,21,,
