x,y,Site,n_SNP,Region
70.53336094899585,245.31447443453837,B1,14,barrier (northern)
65.74155026377723,235.58029552120064,B2,30,barrier (northern)
61.48078471445467,225.32158646454624,B3,32,barrier (northern)
54.04064718966036,208.30072050696273,B5,30,barrier (northern)
51.81149006676336,198.54310755805906,B6,32,barrier (northern)
48.920011327252645,186.3460797146665,B7,19,barrier (northern)
47.155555034895976,172.96171810442954,B8,30,barrier (northern)
48.55464350245374,165.05314254682983,B9,30,barrier (northern)
48.32856145542999,155.2742022689997,B10,20,barrier (central)
47.35128080065776,144.14985811881348,B11,34,barrier (central)
47.86064971704348,131.88422264528361,B12,29,barrier (central)
53.055942582531664,126.667841675245,B13,31,barrier (central)
50.75360385188833,115.86496220273841,B14,30,barrier (central)
46.72825328714199,106.93035479194566,B15,31,barrier (central)
44.001662091463444,94.84344593187883,B16,32,barrier (central)
44.50605198389824,86.13787769768854,B17,31,barrier (central)
46.57284287185767,74.97289582558255,B18,30,barrier (central)
53.499787789771275,66.33170812551762,B19,26,barrier (central)
52.451952662001894,57.468019680104625,B20,31,barrier (central)
62.246351660857215,134.5349562167785,T1,30,Turneffe Atoll
72.34411875170419,147.18471156905068,T2,31,Turneffe Atoll
75.22060585723817,170.16934113245188,T3,32,Turneffe Atoll
76.656664585241,186.54776488291492,T4,31,Turneffe Atoll
65.39119722220532,170.34075162597853,T5,30,Turneffe Atoll
56.136280511226,148.4777335366878,T6,32,Turneffe Atoll
65.34703321066665,85.17455595640183,G1,32,Glover’s Atoll
78.27001050086818,91.19454491458339,G2,29,Glover’s Atoll
80.90565044466744,99.74036107946762,G3,32,Glover’s Atoll
79.5075601241709,107.5088217259865,G4,30,Glover’s Atoll
71.6463482070225,103.09923219162324,G5,32,Glover’s Atoll
66.83037875323959,93.7307568651062,G6,30,Glover’s Atoll
93.53711625958593,130.53951583423003,L1,32,Lighthouse Atoll
106.6803101921303,169.42448109832492,L4,32,Lighthouse Atoll
97.24972186555189,159.29953725872213,L5,32,Lighthouse Atoll
96.50799931351779,142.67612643800265,L6,31,Lighthouse Atoll
38.14830270549014,41.522753514365746,B21,0,barrier (southern)
33.095176328326694,32.87512254844291,B22,17,barrier (southern)
26.133187844597522,21.497566625101665,B23,24,barrier (southern)
23.094382830100123,16.400000000000613,B24,16,barrier (southern)
16.399996587512295,23.90403518603109,B25,21,barrier (southern)
